Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
7/17/2013,3232432,17,7,4,29,3
7/18/2013,3000986,18,7,5,29,3
7/19/2013,3362193,19,7,6,29,3
7/20/2013,3253147,20,7,7,29,3
7/21/2013,2954683,21,7,1,30,4
7/22/2013,2258851,22,7,2,30,4
7/23/2013,2541476,23,7,3,30,4
7/24/2013,2933527,24,7,4,30,4
7/25/2013,2908461,25,7,5,30,4
7/26/2013,3280720,26,7,6,30,4
7/27/2013,2991876,27,7,7,30,4
7/28/2013,3023405,28,7,1,31,5
7/29/2013,2499614,29,7,2,31,5
7/30/2013,2466092,30,7,3,31,5
7/31/2013,2537847,31,7,4,31,5
8/1/2013,2861199,1,8,5,31,1
8/2/2013,3583677,2,8,6,31,1
8/3/2013,2965445,3,8,7,31,1
8/4/2013,3321127,4,8,1,32,2
8/5/2013,2373445,5,8,2,32,2
8/6/2013,2566286,6,8,3,32,2
8/7/2013,3040374,7,8,4,32,2
8/8/2013,3584626,8,8,5,32,2
8/9/2013,3607809,9,8,6,32,2
8/10/2013,3208573,10,8,7,32,2
8/11/2013,3545589,11,8,1,33,3
8/12/2013,3938393,12,8,2,33,3
8/13/2013,3217439,13,8,3,33,3
8/14/2013,3734492,14,8,4,33,3
8/15/2013,3259868,15,8,5,33,3
8/16/2013,2916555,16,8,6,33,3
8/17/2013,3268324,17,8,7,33,3
8/18/2013,4093187,18,8,1,34,4
8/19/2013,3245840,19,8,2,34,4
8/20/2013,3153885,20,8,3,34,4
8/21/2013,3110564,21,8,4,34,4
8/22/2013,2986762,22,8,5,34,4
8/23/2013,3618668,23,8,6,34,4
8/24/2013,3667342,24,8,7,34,4
8/25/2013,3556580,25,8,1,35,5
8/26/2013,3219093,26,8,2,35,5
8/27/2013,2825546,27,8,3,35,5
8/28/2013,3023239,28,8,4,35,5
8/29/2013,3076461,29,8,5,35,5
8/30/2013,3777229,30,8,6,35,5
8/31/2013,3454446,31,8,7,35,5
9/1/2013,4059459,1,9,1,36,1
9/2/2013,3452085,2,9,2,36,1
9/3/2013,3321220,3,9,3,36,1
9/4/2013,3460368,4,9,4,36,1
9/5/2013,3429365,5,9,5,36,1
9/6/2013,4311397,6,9,6,36,1
9/7/2013,4409212,7,9,7,36,1
9/8/2013,3520619,8,9,1,37,2
9/9/2013,2633362,9,9,2,37,2
9/10/2013,3047936,10,9,3,37,2
9/11/2013,3371106,11,9,4,37,2
9/12/2013,3341249,12,9,5,37,2
9/13/2013,3357711,13,9,6,37,2
9/14/2013,2888415,14,9,7,37,2
9/15/2013,2914166,15,9,1,38,3
9/16/2013,2534676,16,9,2,38,3
9/17/2013,3094536,17,9,3,38,3
9/18/2013,2727244,18,9,4,38,3
9/19/2013,2784760,19,9,5,38,3
9/20/2013,3228664,20,9,6,38,3
9/21/2013,3299204,21,9,7,38,3
9/22/2013,3096508,22,9,1,39,4
9/23/2013,2228681,23,9,2,39,4
9/24/2013,2556108,24,9,3,39,4
9/25/2013,2450675,25,9,4,39,4
9/26/2013,2905695,26,9,5,39,4
9/27/2013,3172163,27,9,6,39,4
9/28/2013,2810316,28,9,7,39,4
9/29/2013,2855197,29,9,1,40,5
9/30/2013,3110399,30,9,2,40,5
10/1/2013,2398954,1,10,3,40,1
10/2/2013,2504724,2,10,4,40,1
10/3/2013,2368428,3,10,5,40,1
10/4/2013,2688027,4,10,6,40,1
10/5/2013,2978381,5,10,7,40,1
10/6/2013,2676769,6,10,1,41,2
10/7/2013,2328662,7,10,2,41,2
10/8/2013,2506805,8,10,3,41,2
10/9/2013,2788430,9,10,4,41,2
10/10/2013,2779169,10,10,5,41,2
10/11/2013,3459640,11,10,6,41,2
10/12/2013,3038974,12,10,7,41,2
10/13/2013,2464818,13,10,1,42,3
10/14/2013,2320192,14,10,2,42,3
10/15/2013,2400469,15,10,3,42,3
10/16/2013,2718663,16,10,4,42,3
10/17/2013,2848819,17,10,5,42,3
10/18/2013,3055041,18,10,6,42,3
10/19/2013,3425945,19,10,7,42,3
10/20/2013,3515141,20,10,1,43,4
10/21/2013,2677202,21,10,2,43,4
10/22/2013,2671901,22,10,3,43,4
10/23/2013,2733893,23,10,4,43,4
10/24/2013,2817626,24,10,5,43,4
10/25/2013,3602306,25,10,6,43,4
10/26/2013,3846325,26,10,7,43,4
10/27/2013,3078912,27,10,1,44,5
10/28/2013,2447317,28,10,2,44,5
10/29/2013,2575221,29,10,3,44,5
10/30/2013,3078133,30,10,4,44,5
10/31/2013,3293867,31,10,5,44,5
11/1/2013,3495480,1,11,6,44,1
11/2/2013,2472373,2,11,7,44,1
11/3/2013,1525572,3,11,1,45,2
11/4/2013,1963906,4,11,2,45,2
11/5/2013,2570619,5,11,3,45,2
11/6/2013,2418767,6,11,4,45,2
11/7/2013,2569510,7,11,5,45,2
11/8/2013,2956646,8,11,6,45,2
11/9/2013,2782421,9,11,7,45,2
11/10/2013,2966248,10,11,1,46,3
11/11/2013,2643258,11,11,2,46,3
11/12/2013,2762741,12,11,3,46,3
11/13/2013,2811921,13,11,4,46,3
11/14/2013,3088861,14,11,5,46,3
11/15/2013,3342133,15,11,6,46,3
11/16/2013,3014044,16,11,7,46,3
11/17/2013,3147337,17,11,1,47,4
11/18/2013,2618490,18,11,2,47,4
11/19/2013,2452116,19,11,3,47,4
11/20/2013,2975686,20,11,4,47,4
11/21/2013,3071648,21,11,5,47,4
11/22/2013,3126649,22,11,6,47,4
11/23/2013,3280905,23,11,7,47,4
11/24/2013,3163504,24,11,1,48,5
11/25/2013,2477256,25,11,2,48,5
11/26/2013,2893116,26,11,3,48,5
11/27/2013,3046156,27,11,4,48,5
11/28/2013,2894822,28,11,5,48,5
11/29/2013,3751616,29,11,6,48,5
11/30/2013,3387666,30,11,7,48,5
12/1/2013,3127415,1,12,1,49,1
12/2/2013,2676181,2,12,2,49,1
12/3/2013,2777973,3,12,3,49,1
12/4/2013,2733783,4,12,4,49,1
12/5/2013,2917570,5,12,5,49,1
